0,2,4,100.11,5.939748044,25.05997623,16.27614565,18.39764568,0.145734897,2.01599813
3,8,15,100.11,0.253513155,20.11238035,13.05413158,13.67089577,0.117597055,0.099524708
3,8,15,100.11,0.346616743,20.29956213,13.09628306,13.88114515,0.262163529,0.319206694
3,8,14,100.11,0.46282871,20.64327163,12.98635168,14.31608618,0.262209231,0.321205693
2,7,12,100.11,3.346215658,20.85346953,11.69970952,15.03105595,0.195033751,0
2,12,15,100.65,0.602417647,9.518281752,8.371236794,8.524032727,0.2350315,0.143854452
13,88,108,100.69,0.624666845,3.99998916,3.75959024,1.617929377,0.165566125,0
17,101,126,100.69,0.198491887,3.067889493,3.067889493,1.91862078,0.341660465,0.341960501
6,39,39,100.69,1.823518682,6.542671896,3.856631114,2.727543596,1.398419074,1.376086898
15,87,109,100.69,1.502598628,3.569089964,2.505113295,1.268564075,0.023939512,0
14,86,104,100.69,1.186013666,3.972921471,3.44597071,0.859514294,0.206288526,0
7,51,57,100.69,2.15370771,6.60479308,4.839672306,3.231636469,0.994834336,0
20,108,154,100.69,0.454093165,2.565498726,2.565498726,2.070447618,0.299538302,0.248092019
21,112,145,100.69,0.524802173,2.90189844,2.90189844,1.983415886,0.21630605,0.318497596
10,63,78,100.69,0.343155989,5.141005477,4.578127588,1.453500291,0.245071311,0
20,111,146,100.69,0.545302699,2.81831459,2.81831459,1.936365275,0.213981508,0.404738203
20,100,130,100.69,0.45430864,3.463186816,2.803488282,1.983255309,0.036333439,0.426066064
24,115,171,100.69,0.722221844,2.481680217,2.481680217,1.375714733,0.115981214,0.379246031
21,104,147,100.69,0.16610704,3.277480117,2.17087871,1.343998097,0.567166465,0
6,22,50,101.32,0.391772187,6.877285675,2.255115634,0.503756552,0.16219017,0.518100341
4,16,39,101.32,2.235530463,7.158634526,3.249597894,2.327275828,0.739669992,0.900648951
13,51,91,101.32,1.575073515,6.172079805,1.78275334,1.564521127,0.031297275,0.422651446
36,164,266,100.05,0.996308761,1.153705139,1.153705139,0.591724592,0.375533392,0
36,158,258,100.05,0.490915814,0.442105702,0.442105702,1.134202277,0.136698258,9.49E-05
37,169,269,100.05,0.962398993,0.931482736,0.931482736,0.589036398,0.044944821,0.208034953
36,157,254,100.05,0.553145465,0.501206588,0.501206588,1.174793355,0.209351835,0
30,124,207,100.27,0.766595307,1.927138817,2.048155944,1.658390688,0.19055735,0.427136536
13,78,108,100.27,1.078004021,3.571796398,0.152164492,3.308686665,0.458070801,0.142697953
13,74,116,100.27,0.36885618,3.459911702,0.670173222,2.543748141,0.204570941,0.323214552
18,80,135,100.27,1.052529818,3.788813752,3.616772475,0.54482088,0.160645168,0
20,92,148,100.27,0.530462894,3.311817092,3.051671699,0.16501093,0.165558722,0.389721632
11,43,72,101.43,1.779243303,5.680814528,5.217851537,2.765122736,0.512602498,1.760537137
